"rule_id","authority","standard","ig_version","severity","message","pattern","check_tree_preview","status","converted_at","p21_primitive","notes"
"CG0156","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","APID in POOLDEF.POOLID","value-in-cross-dataset-col","all: - operator: missing_in_ref name: ""APID"" reference_dataset: ""POOLDEF"" reference_key: ""POOLID""","predicate","2026-04-24T09:20:58Z",NA,"AP-scoped (Associated Persons, SDTMIG-AP); deferred"
"CG0157","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","RSUBJID in DM.USUBJID","value-in-cross-dataset-col","all: - operator: missing_in_ref name: ""RSUBJID"" reference_dataset: ""DM"" reference_key: ""USUBJID""","predicate","2026-04-24T09:20:58Z",NA,"AP-scoped (Associated Persons, SDTMIG-AP); deferred"
"CG0158","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","RSUBJID in POOLDEF.POOLID","value-in-cross-dataset-col","all: - operator: missing_in_ref name: ""RSUBJID"" reference_dataset: ""POOLDEF"" reference_key: ""POOLID""","predicate","2026-04-24T09:20:58Z",NA,"AP-scoped (Associated Persons, SDTMIG-AP); deferred"
"CG0159","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","RSUBJID = null",NA,NA,"narrative",NA,NA,NA
"CG0160","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","Describes relationship of associated person to study subject or pool",NA,NA,"narrative",NA,NA,NA
"CG0161","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","Describes relationship of associated person to device identified in RDEVID",NA,NA,"narrative",NA,NA,NA
"CG0162","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","Describes relationship of associated person to study identified in STUDYID",NA,NA,"narrative",NA,NA,NA
"CG0167","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","Comments are unsolicited, free-text and voluntary",NA,NA,"narrative",NA,NA,NA
"CG0169","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","COVALn not present in dataset",NA,NA,"narrative",NA,NA,NA
"CG0172","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","SSDTC >= all DS.DSSTDTC",NA,NA,"narrative",NA,NA,NA
"CG0173","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","The name of the variable is used as the value of FATESTCD.",NA,NA,"narrative",NA,NA,NA
"CG0174","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","FAOBJ in (--TERM, --TRT, --DECOD)",NA,NA,"blocker:requires-dynamic-parent-domain-link-op","2026-04-24T04:31:01Z",NA,"Q4 triage: condition not machine-checkable against SDTM columns."
"CG0180","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","LBORNRLO = null",NA,NA,"narrative",NA,NA,NA
"CG0181","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","LBORNRHI = null",NA,NA,"narrative",NA,NA,NA
"CG0182","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","LBSTNRLO = null",NA,NA,"narrative",NA,NA,NA
"CG0183","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","LBSTNRHI = null",NA,NA,"narrative",NA,NA,NA
"CG0184","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","LBSTNRC = null",NA,NA,"narrative",NA,NA,NA
"CG0185","CDISC","SDTM-IG","3.2,3.3,3.4","Medium","LBTOXGR is a numeric value",NA,NA,"narrative",NA,NA,NA
